,gene,correlation,pvalue
0,ADIPOQ_infl,-0.03983755232088211,0.37597470756315554
1,AXL_infl,-0.15692827541987014,0.00045166181479436366
2,CCL1_infl,0.021106125682194523,0.6391254022878197
3,CCL13_infl,-0.12804362833894864,0.004286942139383507
4,CCL16_infl,-0.010273882261953202,0.8194604923746749
5,CCL2_infl,-0.101145484834717,0.024277240822086217
6,CCL20_infl,0.18257266429890845,4.308985769110637e-05
7,CCL25_infl,0.19808708612581016,8.80575994580157e-06
8,CCL27_infl,-0.16198343996596304,0.00029189305832089845
9,CCL5_infl,0.06102072014247559,0.1748346815919067
10,CCL8_infl,0.009749700789037767,0.828525197911993
11,COX2_infl,,
12,CXCL11_infl,-0.016498012168614126,0.7139725631812693
13,CXCL13_infl,0.0009335583392830098,0.9834539558819828
14,CXCL5_infl,-0.05032786680503369,0.26325284609261873
15,CXCL6_infl,-0.05940268168281256,0.18657167916594677
16,EGF_infl,-0.1655104767882648,0.00021360470027380384
17,FAS_infl,0.08683892209562359,0.05326485864037335
18,FGF7_infl,-0.12957697307992627,0.003843468970173688
19,GDNF_infl,-0.1208773598251275,0.00703541540402014
20,HGF_infl,-0.1256879261524354,0.005058811181523925
21,IFNAR2_infl,0.007866849188975495,0.8612653111087496
22,IGFBP4_infl,-0.08290584169730011,0.06504928561757586
23,IGFBP7_infl,-0.16373500042286956,0.0002501616990408397
24,IL11_infl,-0.17411880864856782,9.705467429385112e-05
25,IL13_infl,0.02484609930403073,0.5809223298305464
26,IL15_infl,0.18601944019935843,3.061568902381016e-05
27,IL1A_infl,-0.11960502015022685,0.007662559158088193
28,IL6_infl,-0.061507166164140266,0.17141583423758947
29,IL7_infl,0.1460981922817452,0.0011020970671642245
30,LIF_infl,-0.07775352014334294,0.08364749151624276
31,MIF_infl,0.21967041742143967,7.79543410537156e-07
32,MMP12_infl,-0.06106118627699727,0.17454835633379912
33,MMP13_infl,-0.38588117168307984,4.6580177801009675e-19
34,MMP14_infl,-0.2693347769903881,1.0858771530896183e-09
35,MMP2_infl,-0.43722668366012296,1.4178718645101792e-24
36,NAP1L4_infl,0.27276169234370057,6.53849585417141e-10
37,NGF_infl,-0.3642182542010085,5.264399262909439e-17
38,PF4_infl,0.018606573394315807,0.6793294596893267
39,PIGF_infl,0.02702097236399826,0.548255079307209
40,PLAT_infl,0.010060165489515785,0.8231534803364293
41,PLAU_infl,-0.20227818524047508,5.609336474251817e-06
42,PLAUR_infl,-0.1637996149870783,0.00024873456343161454
43,SERPINB2_infl,-0.1041685623066002,0.020318900315751426
44,SERPINE1_infl,-0.2783659926322352,2.8087273421578927e-10
45,SMAD3_infl,0.08142274959630706,0.07001638052811464
46,TIMP1_infl,-0.0650002655227553,0.14831717612514667
47,TNFRSF10C_infl,0.04942322678552319,0.2719417885251163
48,TNFRSF18_infl,0.16071040121471744,0.0003262098719888843
49,VEGFA_infl,0.074909968117601,0.09562243813382368
50,infl,-0.23060985659804378,2.0679310082210232e-07
